"il.href","il","bolge","kod","tel","nufus","alan","index","url"
"javascript:void(0)","Gaziantep","Güneydoğu","27","342","1.293.849","7.642","34","http://www.tapu.nl/turkce/turkiye.html"
"","Giresun","Karadeniz","28","454","499.087","6.934","35","http://www.tapu.nl/turkce/turkiye.html"
"","Gümüshane","Karadeniz","29","456","186.953","10.227","36","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Hakkari","Güneydoğu","30","438","235.841","9.521","37","http://www.tapu.nl/turkce/turkiye.html"
"","Hatay","Güneydoğu","31","326","1.232.910","5.403","38","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Içel (8)","Akdeniz","33","324","1.668.007","15.853","39","http://www.tapu.nl/turkce/turkiye.html"
"","Igdir","Doğu Anadolu","76","476","168.634","3.539","40","http://www.tapu.nl/turkce/turkiye.html"
"","Isparta","Akdeniz","32","246","514.379","8.933","41","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Istanbul (1)","Marmara","34","212-216","10.033.478","5.712","42","http://www.tapu.nl/turkce/turkiye.html"
"","Izmir (3)","Ege","35","232","3.387.908","11.973","43","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Karabük","Karadeniz","78","372","225.102","1.376","44","http://www.tapu.nl/turkce/turkiye.html"
"","Karaman","İç Anadolu","70","338","243.399","9.237","45","http://www.tapu.nl/turkce/turkiye.html"
"","Kars","Doğu Anadolu","36","474","327.056","18.557 (7.)","46","http://www.tapu.nl/turkce/turkiye.html"
"","Kastamonu","Karadeniz","37","366","326.725","13.108","47","http://www.tapu.nl/turkce/turkiye.html"
"","Kayseri","İç Anadolu","38","352","1.049.659","16.917","48","http://www.tapu.nl/turkce/turkiye.html"
"","Kilis","Doğu Anadolu","79","342","114.724","1.243","49","http://www.tapu.nl/turkce/turkiye.html"
"","Kirklareli","Marmara","39","288","328.461","6.550","50","http://www.tapu.nl/turkce/turkiye.html"
"","Kirikkale","İç Anadolu","71","318","303.508","4.365","51","http://www.tapu.nl/turkce/turkiye.html"
"","Kirsehir","İç Anadolu","40","386","253.239","6.570","52","http://www.tapu.nl/turkce/turkiye.html"
"","Kocaeli","Marmara","41","262","1.203.335","3.626","53","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Konya (4)","İç Anadolu","42","332","2.217.969","38.183 (1.)","54","http://www.tapu.nl/turkce/turkiye.html"
"","Kütahya","Ege","43","274","656.716","11.875","55","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Malatya","Güneydoğu","44","422","853.658","12.313","56","http://www.tapu.nl/turkce/turkiye.html"
"","Manisa","Ege","45","236","1.260.159","13.810","57","http://www.tapu.nl/turkce/turkiye.html"
"","Kahraman Maras","Güneydoğu","46","344","1.008.069","14.327","58","http://www.tapu.nl/turkce/turkiye.html"
"","Mardin","Güneydoğu","47","482","705.098","12.760","59","http://www.tapu.nl/turkce/turkiye.html"
"","Mugla","Ege","48","252","717.384","13.338","60","http://www.tapu.nl/turkce/turkiye.html"
"","Mus","Güneydoğu","49","436","453.654","8.196","61","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Nevsehir","İç Anadolu","50","384","309.914","5.467","62","http://www.tapu.nl/turkce/turkiye.html"
"","Nigde","İç Anadolu","51","388","348.081","14.294","63","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Ordu","Karadeniz","52","452","887.765","6.001","64","http://www.tapu.nl/turkce/turkiye.html"
"","Osmaniye","Akdeniz","80","328","463.196","974","65","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Rize","Karadeniz","53","464","365.938","3.920","66","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Sakarya","Marmara","54","264","746.060","4.817","67","http://www.tapu.nl/turkce/turkiye.html"
"","Samsun","Karadeniz","55","362","1.203.681","9.579","68","http://www.tapu.nl/turkce/turkiye.html"
"","Siirt","Güneydoğu","56","484","264.778","11.003","69","http://www.tapu.nl/turkce/turkiye.html"
"","Sinop","Karadeniz","57","368","225.574","5.862","70","http://www.tapu.nl/turkce/turkiye.html"
"","Sirnak","Güneydoğu","73","486","354.061","6.904","71","http://www.tapu.nl/turkce/turkiye.html"
"","Sivas","Doğu Anadolu","58","346","752.828","28.488 (3.)","72","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Tekirdag","Marmara","59","282","626.549","6.218","73","http://www.tapu.nl/turkce/turkiye.html"
"","Tokat","Karadeniz","60","356","828.027","9.958","74","http://www.tapu.nl/turkce/turkiye.html"
"","Trabzon","Karadeniz","61","462","979.295","4.685","75","http://www.tapu.nl/turkce/turkiye.html"
"","Tunceli","Doğu Anadolu","62","428","93.584","7.774","76","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Sanli Urfa (9)","Güneydoğu","63","414","1.436.956","18.584 (8.)","77","http://www.tapu.nl/turkce/turkiye.html"
"","Usak","Ege","64","276","322.654","5.341","78","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Van","Doğu Anadolu","65","423","877.524","19.069 (6.)","79","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Yalova","Marmara","77","226","168.593","492","80","http://www.tapu.nl/turkce/turkiye.html"
"","Yozgat","İç Anadolu","66","354","877.524","14.132","81","http://www.tapu.nl/turkce/turkiye.html"
"javascript:void(0)","Zonguldak","Karadeniz","67","372","615.599","8.629","82","http://www.tapu.nl/turkce/turkiye.html"
